id;pregunta;tipo;categoria;dificultad;fun_fact;fecha_creacion;fecha_mostrada;ruta_audio;ruta_imagen
16;La sabiduría popular dice que si te pasas echando sal dn tu guiso lo arreglaras echando... ?;Relampago;Encuestas WhatsApp;Media;La patata absorbe parte del exceso de sal, aunque no es un remedio perfecto.;2023-01-22T12:36;;;
17;Hoy voy a comer a un restaurante especializado en trufas, ¿de que producto estamos hablando?;Relampago;Encuestas WhatsApp;Media;Las trufas son hongos subterráneos muy valorados en gastronomía por su aroma intenso.;2023-01-22T12:38;;;
18;"Quién canta ""El Perdón"" junto a ""Nicky Jam"" ?";Relampago;Encuestas WhatsApp;Media;La canción de 2015 se convirtió en un éxito internacional, combinando reguetón y pop latino.;2023-01-22T12:40;;;
19;"Una ordenanza municipal en Sevilla en 2014 ordeno que no se puede "".............."" en la terraza de los bares?";Relampago;Encuestas WhatsApp;Media;Sevilla fue pionera en reforzar las medidas antitabaco en espacios públicos.;2023-01-22T12:43;;;
20;¿Cuántas veces se puede restar 1 a la cifra 101?;Relampago;Encuestas WhatsApp;Media;Porque después de restarle 1 ya no es 101, sino 100. Es un clásico de lógica.;2023-01-22T12:45;;;
21;el sistema de matriculación actual entro en vigor el día 18 de septiembre de 2000, peroooo.... , ¿Cuál fue la primera matrícula de éste?;Normal;Encuestas WhatsApp;Media;Las matrículas españolas pasaron a formato europeo con cuatro números + tres letras, empezando por “BBB”.;2023-01-23T09:08;;;
22;¿Cuántos años son un Lustro?;Normal;Encuestas WhatsApp;Media;La palabra proviene del latín lustrum, que se usaba para un período de cinco años en la Antigua Roma.;2023-01-24T09:05;;;
23;"¿Cuál o cuales de estos cantantes *NO* aparece/n junto a ""Bad Bunny"" el conejo malo  en alguna canción? ";Normal;Encuestas WhatsApp;Media;Aunque Bad Bunny ha colaborado con muchos artistas internacionales, nunca lo ha hecho con Selena Gómez.;2023-01-24T14:35;;;
24;¿Cuál es la videoconsola más vendida de la historia? ???? ??;Normal;Encuestas WhatsApp;Media;Con más de 155 millones de unidades vendidas, fue lanzada en el año 2000 y dominó su generación.;2023-01-25T09:26;;;
25;En la tierra, por cada segundo que un objeto está en caida libre, su velocidad aumenta de media en..;Normal;Encuestas WhatsApp;Media;Es la aceleración de la gravedad terrestre, aunque varía ligeramente según la altitud y latitud.;2023-01-26T08:45;;;
26;¿Qué se inventó antes?;Normal;Encuestas WhatsApp;Media;Fue inventado en 1938, mientras que la fregona llegó en 1956 y el radar en los años 30-40.;2023-01-27T10:25;;;
27;¿Qué se inventó después?;Normal;Encuestas WhatsApp;Media;El ingeniero español Manuel Jalón la patentó en 1956, revolucionando la limpieza doméstica.;2023-01-27T10:26;;;
28;¿Hace cuánto se extinguieron los dinosaurios! ;Normal;Encuestas WhatsApp;Media;La extinción se asocia con el impacto de un asteroide en Chicxulub (México).;2023-01-28T16:09;;;
29;¿Qué Isla tiene más habitantes?;Relampago;Encuestas WhatsApp;Media;Tiene más población que Ibiza, aunque menos que Tenerife o Gran Canaria.;2023-01-29T14:32;;;
30;"Si estoy celebrando mis bodas de ""madera"", llevo ca""N""sado... ?";Relampago;Encuestas WhatsApp;Media;Cada aniversario tiene un nombre simbólico: el 5º es madera, el 25º es plata y el 50º es oro.;2023-01-29T14:35;;;
31;Las auroras boreales, un fenómeno de la atmósfera, están relacionadas…;Relampago;Encuestas WhatsApp;Media;Se producen cuando partículas del sol chocan con la magnetosfera de la Tierra, iluminando el cielo en zonas polares.;2023-01-29T14:38;;;
32;¿Cuántos movimientos tiene la novena sinfonía de Beethoven ?;Normal;Encuestas WhatsApp;Media;Estrenada en 1824, incluye el famoso “Himno a la Alegría” en su cuarto movimiento.;2023-01-29T14:40;;;
33;Pa' pasal.........  en el do' mil diecisei' ;Normal;Encuestas WhatsApp;Media;Es un guiño a la canción “La Gozadera” de Gente de Zona y Marc Anthony.;2023-01-29T14:42;;;
34;¿Cuántos pares de costillas tenemos por norma general?;Normal;Encuestas WhatsApp;Media;El cuerpo humano suele tener 24 costillas (12 pares), aunque algunas personas pueden tener una costilla extra.;2023-01-30T12:07;;;
